GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot,com.utn.TPFinal.service,TariffService,0,43,0,0,0,9,0,6,0,6
springboot,com.utn.TPFinal.service,PhoneLineService,0,37,0,0,0,10,0,6,0,6
springboot,com.utn.TPFinal.service,CallService,0,35,0,0,0,7,0,5,0,5
springboot,com.utn.TPFinal.service,BillService,0,22,0,0,0,6,0,4,0,4
springboot,com.utn.TPFinal.service,UserService,0,104,0,0,0,24,0,13,0,13
springboot,com.utn.TPFinal.controller.administration,AdminController,0,144,0,4,0,29,0,9,0,7
springboot,com.utn.TPFinal.controller.advice,ControllerAdvice,0,64,0,0,0,10,0,10,0,10
springboot,com.utn.TPFinal.controller.model,CallController,0,71,0,14,0,15,0,12,0,5
springboot,com.utn.TPFinal.controller.model,UserController,0,139,0,18,0,36,0,21,0,12
springboot,com.utn.TPFinal.controller.model,TariffController,0,71,0,12,0,17,0,12,0,6
springboot,com.utn.TPFinal.controller.model,PhoneLineController,0,79,0,14,0,20,0,13,0,6
springboot,com.utn.TPFinal.controller.model,BillController,0,48,0,10,0,10,0,9,0,4
springboot,com.utn.TPFinal.exceptions,PhoneLineException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.exceptions,UserNotExistException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.exceptions,InvalidLoginException,0,6,0,0,0,3,0,2,0,2
springboot,com.utn.TPFinal.exceptions,EmployeeException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.exceptions,IncorrectDataCallException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.exceptions,ValidationException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.exceptions,UserAllReadyExistException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.exceptions,TariffException,0,4,0,0,0,2,0,1,0,1
springboot,com.utn.TPFinal.controller.login,LoginController,0,53,0,0,0,16,0,4,0,4
springboot,com.utn.TPFinal.controller.web,CallWebController,0,53,0,4,0,14,0,5,0,3
springboot,com.utn.TPFinal.controller.web,BillWebController,0,32,0,2,0,9,0,3,0,2
springboot,com.utn.TPFinal.controller.backoffice,PhoneLineBackController,0,96,0,0,0,19,0,5,0,5
springboot,com.utn.TPFinal.controller.backoffice,BillBackController,0,48,0,6,0,15,0,6,0,3
springboot,com.utn.TPFinal.controller.backoffice,ClientBackController,0,129,0,4,0,31,0,10,0,8
springboot,com.utn.TPFinal.controller.backoffice,TariffBackController,0,48,0,6,0,15,0,7,0,4
springboot,com.utn.TPFinal.controller.backoffice,CallBackController,0,34,0,4,0,11,0,4,0,2
